ages,skins,brands,items,stars,reviews
29,乾燥肌,パーフェクトC,クレンジング＆洗顔ジェル,3,※モニター使用ですビタミンやコラーゲンを配合したクレンジング兼洗顔料角質ケアもできるマルチな機能があって時短したいときに重宝しました洗い上がりはつっぱらず程よい保湿感これからの春夏の季節にはくすみケアもできるのでいいかなと思いますが、クレンジング力がいまいちシリコン入りのコスメでばっちり隠してますっていうメイクをする方には物足りないです
30,乾燥肌,PLUEST,Mannan Jelly Hydro Wash,7,Mannan Jelly Hydro Wash保湿剤で洗う、新発想の洗顔ジュレ。ゼリー状の洗顔料で顔に乗せると白く変化。このゼリーが肌表面だけでなく、毛穴の奥深くまで入り込むように洗えます。洗い上がりはさっぱりとするので、これからの時期にぴったり。ジュレの洗顔料、はまってしまいました。以下詳細保湿剤で洗うという新発想洗顔ジュレ。肌表面だけでなく、マンナンジェリーがマッサージしながら毛穴の奥の皮脂や汚れまで狙って落とします。肌に必要な油分・水分を守りながら、さっぱりとさせ、和漢西洋ハーブエキス配合で実感できる整肌効果。さまざまな肌タイプの方にお使いいただけます。ウービィー株式会社さんのブログリポーターに参加中♪
36,混合肌,ナリスアップ コスメティックス,ネイチャーコンク 薬用 クリアローション,6,わたくし、朝は乾燥対策の為洗顔はせず、化粧水でふき取りをしておりますがやっぱり、くすみや角質に関しては洗顔をした方がしっかりと除去できるんですよねぇ。でも、乾燥が気になるし…。そんな私に朗報です。（またお前にか。）今回お試しした、１本６役のネイチャーコンク 薬用クリアローションが、肌に優しいのに汚れはしっかりとオフしてくれて、植物由来の成分でしっかり保湿！もちろん、肌荒れを防いでくれ、さらに美白効果で明るい肌にしてくれるのだとか！！角質除去をしてくれるので、美白効果の他に、次のアイテムの浸透もＵＰ！！だから、朝の洗顔代わりにもバッチリ！！！Ｗの有効成分で美白ケア＆消炎有効成分で肌荒れも防止っ！！しかーしっ。心配なことがひとつ。角質除去をしてくれるふき取り化粧水は、効果が強すぎて、ふき取りの摩擦と刺激も相まって乾燥MAX！肌がギッシギシになってしまったりする商品があったりしますよねー。はい。無問題無問題。しっかりとふき取り効果があるのに、潤うその秘密は？！植物性うるおい成分を１０成分も配合しているからなんですーっ！！＊ヨクイニンエキス、サボンソウエキス、月見草油、ユキノシタエキス、チンピエキス、トウニンエキス、アロエお、リンゴエキス、キウイエキス、ラベンダーエキスなるほどーっ！ただ汚れをふき取るだけではなく、しっかりと保湿してくれるから安心して毎日使えちゃうんですねっ！！真っ赤なイメージカラーの本体は無駄なパッケージなどなく、本体を見るだけで、気になることは全て記載されている為、エコの観点から見ても◎！！ワンタッチのキャップ式なので、片手で開け閉めできて、コットンを持ったまま使用できるのはちょー便利っ。てな、訳で！早速、コットンに出してみました。（写真向かって左側）少しとろみのある薄黄色の化粧水ですね。実際に朝の洗顔代わりに使用してみましたが、夜しっかりと洗顔して寝たにもかかわらず、ふき取りした後のコットンを見てみてビックリ！！ヤバス。ガチで汚い…。コットンが有り得ないぐらいグレーに染まってますわ…。（写真向かって右側）お陰でふき取りした後の肌は、ワントーン明るくなり、化粧のりもバッチリ！！もちろん、しっとり保湿もＧＯＯＤ！！これは、本当に便利なのに効果抜群で、今まで何で使っていなかったのか！！お値段も、購入場所も◎！！これはリピ決定！！オススメですっ！！
36,混合肌,ナリスアップ コスメティックス,ネイチャーコンク 薬用 クリアローション,6,わたくし、朝は乾燥対策の為洗顔はせず、化粧水でふき取りをしておりますがやっぱり、くすみや角質に関しては洗顔をした方がしっかりと除去できるんですよねぇ。でも、乾燥が気になるし…。そんな私に朗報です。（またお前にか。）今回お試しした、１本６役のネイチャーコンク 薬用クリアローションが、肌に優しいのに汚れはしっかりとオフしてくれて、植物由来の成分でしっかり保湿！もちろん、肌荒れを防いでくれ、さらに美白効果で明るい肌にしてくれるのだとか！！角質除去をしてくれるので、美白効果の他に、次のアイテムの浸透もＵＰ！！だから、朝の洗顔代わりにもバッチリ！！！Ｗの有効成分で美白ケア＆消炎有効成分で肌荒れも防止っ！！しかーしっ。心配なことがひとつ。角質除去をしてくれるふき取り化粧水は、効果が強すぎて、ふき取りの摩擦と刺激も相まって乾燥MAX！肌がギッシギシになってしまったりする商品があったりしますよねー。はい。無問題無問題。しっかりとふき取り効果があるのに、潤うその秘密は？！植物性うるおい成分を１０成分も配合しているからなんですーっ！！＊ヨクイニンエキス、サボンソウエキス、月見草油、ユキノシタエキス、チンピエキス、トウニンエキス、アロエお、リンゴエキス、キウイエキス、ラベンダーエキスなるほどーっ！ただ汚れをふき取るだけではなく、しっかりと保湿してくれるから安心して毎日使えちゃうんですねっ！！真っ赤なイメージカラーの本体は無駄なパッケージなどなく、本体を見るだけで、気になることは全て記載されている為、エコの観点から見ても◎！！ワンタッチのキャップ式なので、片手で開け閉めできて、コットンを持ったまま使用できるのはちょー便利っ。てな、訳で！早速、コットンに出してみました。（写真向かって左側）少しとろみのある薄黄色の化粧水ですね。実際に朝の洗顔代わりに使用してみましたが、夜しっかりと洗顔して寝たにもかかわらず、ふき取りした後のコットンを見てみてビックリ！！ヤバス。ガチで汚い…。コットンが有り得ないぐらいグレーに染まってますわ…。（写真向かって右側）お陰でふき取りした後の肌は、ワントーン明るくなり、化粧のりもバッチリ！！もちろん、しっとり保湿もＧＯＯＤ！！これは、本当に便利なのに効果抜群で、今まで何で使っていなかったのか！！お値段も、購入場所も◎！！これはリピ決定！！オススメですっ！！
45,敏感肌,ビフェスタ,泡洗顔 モイスト,4,ドンキの中で、ビオレ以外で泡洗顔を探すと1番安かったので購入しました。ムースの泡に比べると、かなり緩い泡が出ます。液だれして口の部分に固まった洗顔料をしょっちゅう取るのが面倒です。でも1度だけの洗顔でメイクも落ちるしいい香りもします。モイストなだけあって、洗顔後にすぐ突っ張ったりしません。炭酸なので美白効果も期待しながら使っています。
42,混合肌,ロゼット,ロゼット 洗顔パスタ 海泥スムース,4,モニターとして使用しています。このブランドの製品は初めて使用したのですが、レトロなブランドロゴに惹かれました！ミネラルがたくさん含まれていると言われる海泥が配合されたこの洗顔フォームは、手に出すと少し灰色で、泥なんだな、と感じました。実は製品名にあるパスタというのは、「粉を練り込みペースト状にしたもの」を表しているそうです、海泥パウダーを練りこんでペースト状になっているのが、この洗顔料です。泥のパウダーが配合されているということで、ザラザラして肌を傷めることはないか、ちょっぴり心配でしたが、泡立てるときめ細かいモチモチの泡ができて、肌あたりも優しく、その心配は無用でした！この泡が肌表面の汚れを吸着し、からめ落としてくれるとのこと。お湯で流したあとは、肌がしっとりつるつるになりました。無香料なので、洗顔料の香りが苦手な人にもおすすめ。また、着色料で鉱物油フリーなのも嬉しいポイントです。私は特に、小鼻の周りをこの泡で洗うことで、ざらつきがなくなったなぁと感じています。
29,混合肌,ロゼット,ロゼット 洗顔パスタ 海泥スムース,7,キャップはパかっと開くタイプで片手で開閉できてとってもらくちん。チューブタイプで最後まで清潔に使えるようになっています◎ペーストはグレーがかった色味をしており、匂いなどはなく癖のない使い心地。水を加えて泡立てると、濃密でふわもちの泡があっという間にできます。泡立ちは非常によく、弾力ある泡で肌に摩擦などの負担を感じさせることなく洗うことができます。洗い上りはさっぱりとしていて心地よく、けれど肌の潤いは奪いすぎておらず泥配合の洗顔料なのにつっぱるような乾燥するような感じはほとんど感じませんでした。120gで600円と非常にリーズナブルなので顔だけでなくボディにも惜しみなく使えるのもうれしいポイント。これからもたくさん使い続けていきたいと思えるとても優秀な洗顔料でした！
24,乾燥肌,チュフディ ナチュール,チュフディ石鹸,7,地元のお祭りでお試しサイズのものをいくつか買ってみました。試してみたのは以下の通りです。・タンカン・ラベンダー・ゼラニウム・黒糖どれも肌が突っ張らなくて、とても使い心地の良い石鹸でした。ラベンダーとゼラニウムはアロマの香りが強くて、毎日使うのが楽しみでした。ラベンダーを使っていた時は肌のくすみが取れた？ような気がしました。美白効果でしょうか。また、タンカンの方は他のものと比べて毛穴の汚れがよく落ちました。他の種類も、機会があれば是非試してみたいです。
34,乾燥肌,カバーマークカバーマークからのお知らせがあります,ミネラルウォッシュ,評価しない,クレンジングミルクと一緒に入っていた雑誌付録のパウチ利用です。評判が良いので使ってみて良ければ現品購入しようと思って試しました。結果私にはあいませんでした。使用中はクレイ独特の香りもまぁ良いかなと思い使用感も悪くなく洗浄力も有るなと感じたんですが、使った直後から肌がヒリヒリして乾燥しました。肌は弱い方ではないのに2日続けて利用したら吹き出物が出来たのでストップしました。必要なあぶらも取っちゃったのかなーと勝手に思ってます。洗浄力と値段もそんなに高くないので良いなと思ったのですが残念でした。
28,普通肌,セルベスト,ピュアクレイ 洗顔&パック,5,もともと親会社のエステに通っていますが、ネットでたまたま見つけて購入しました。柔らかいテクスチャーで、4センチほどを手で伸ばして顔に付けていきます。泡洗顔のように擦るのではなく、泥を顔になすりつける感じ！笑わたしは目の周りに白いポツポツ(粉瘤のようなの)が出来やすく、結構たくさんあったのですが、それが本当に目立たなくなったと思います。毛穴へのアプローチはまだ分かりませんが、トーンアップには効果ありかと。冬でも洗顔後肌はつっぱらないし私には合っています。少し値段はしますが、夜だけ妹と兼用で2ヶ月くらいもったのでコスパは悪くないと思います！毎月届くので、どうしても溜まっていく…2ヶ月に1回お届け！などのコースがあったら尚いいな?と思うところです。
23,混合肌,ロゼット,無添加米ぬか洗顔フォーム,7,元々軽いアトピー肌で、花粉でまぶたが赤く腫れたり首元がかゆくなったりと散々な状態で使用しました。元々は専科のピンクを使っていましたが、二月末頃から花粉のせいなのか、急に今まで使っていた化粧品が全て肌に合わなくなり、本当にショックでした。そんな時たまたまドラッグストアで無添加という文字に目が止まり、検索をかけてみたらとても評価が良かったので即購入して使ってみましたが、これが正解でした！約１センチ大をぬるま湯を含ませた洗顔ネットに取り、しっかり泡を立てて優しくクルクルすると、毛穴の汚れや肌のザラザラが本当に綺麗に取れます。肌荒れと同時にブラックヘッドや角栓も悩みだったので、一石二鳥でした（笑）毛穴が綺麗になるので、同時に肌も白くなった気がします。洗い上がりはキュキュっという感じで、ビオレのように肌に残るような洗い上がりではありません。が、不思議とつっぱらない…。香料なども、もちろん配合されていないので、香料などで肌が荒れる私のような方にはもってこいの商品ではないかと思います。！私はボディーソープでも肌が荒れるような肌質なので、こちらの洗顔フォームで身体を洗っていますが、乾燥知らずでとても良いです。あれだけ悩んでいた首の荒れも綺麗に治りました…。専科の洗顔フォームの成分があまり肌に良くない…という話は聞いていたので、これを機にこちらの商品に乗り換えたいと思います。安いところでは400円くらいで売っていたので、とても安いのにこのクオリティは凄い…！久々に感動でした。やはり成分はよく見るべきですね。無添加ってやっぱり凄い。リピ確定です。
23,混合肌,ロゼット,無添加米ぬか洗顔フォーム,7,元々軽いアトピー肌で、花粉でまぶたが赤く腫れたり首元がかゆくなったりと散々な状態で使用しました。元々は専科のピンクを使っていましたが、二月末頃から花粉のせいなのか、急に今まで使っていた化粧品が全て肌に合わなくなり、本当にショックでした。そんな時たまたまドラッグストアで無添加という文字に目が止まり、検索をかけてみたらとても評価が良かったので即購入して使ってみましたが、これが正解でした！約１センチ大をぬるま湯を含ませた洗顔ネットに取り、しっかり泡を立てて優しくクルクルすると、毛穴の汚れや肌のザラザラが本当に綺麗に取れます。肌荒れと同時にブラックヘッドや角栓も悩みだったので、一石二鳥でした（笑）毛穴が綺麗になるので、同時に肌も白くなった気がします。洗い上がりはキュキュっという感じで、ビオレのように肌に残るような洗い上がりではありません。が、不思議とつっぱらない…。香料なども、もちろん配合されていないので、香料などで肌が荒れる私のような方にはもってこいの商品ではないかと思います。！私はボディーソープでも肌が荒れるような肌質なので、こちらの洗顔フォームで身体を洗っていますが、乾燥知らずでとても良いです。あれだけ悩んでいた首の荒れも綺麗に治りました…。専科の洗顔フォームの成分があまり肌に良くない…という話は聞いていたので、これを機にこちらの商品に乗り換えたいと思います。安いところでは400円くらいで売っていたので、とても安いのにこのクオリティは凄い…！久々に感動でした。やはり成分はよく見るべきですね。無添加ってやっぱり凄い。リピ確定です。
18,敏感肌,ビオレ,おうちdeエステ 肌をなめらかにする マッサージ洗顔ジェル,7,人によって効果が違うのかも知れませんけど、私は確実に自分の肌が変わったのを感じました！特に毛穴がつるつるに！化粧ノリもよい。泡洗顔じゃないから、スッキリ感が欲しい人は物足りないかもしれないけど、マッサージジェルを使わなくても洗顔しながら顔のマッサージが出来るので楽でいい。何も問題が起こらない限りはずーっと使うと思う。
46,乾燥肌,花王ホワイト,花王ホワイト セレクト,7,箱を開けた瞬間から、優雅で上品なフローラル系の香りが広がります。ギフトで貰ったら、とても嬉しいです。泡立てネットを使って泡立てると、とてもモコモコとしたきめ細かく柔らかい泡が泡立ちます。肌に伸ばしても、へたれずに伸びが良く、滑らかに伸びていきます。スキンケア化粧品にも使われる上質な植物原料を使用しているので、安心して使えます。花王のキャンペーンに参加中です。
29,混合肌,ドクターシーラボ,VC100ホットウォッシングフォームNEW,7,実際に使用してみると、ワンプッシュで濃密なもちもちの泡が簡単に出てきて驚きます。ふんわりと柑橘系の香りがするので使うだけで癒されるのでお気に入りです◎指で泡を広げると滑らかに広がり、泡自体が非常にきめ細かく弾力があるので、洗顔中も手と顔の間でクッションのような働きをしてくれるので摩擦などの負担を感じることなく使用することができました。温感効果は控えめではありますが、炭酸がはいっているのも相まって、洗い上りの肌は使用前と比べてワントーン明るくなって透明感が出たように感じます。しっとりとした泡質ですが洗い流した後の肌はさっぱりとしていて気持ちのいい仕上がりで、一方肌の潤いは残っていてつっぱるような感じがなく理想的。泡立て不要なので忙しい時やめんどくさい時、疲れたときなんかにも重宝していますが、純粋に使い心地がいいのでついつい使ってしまいます。これからもたくさん使い続けていきたいと思えるとても優秀な洗顔フォームでした！
29,混合肌,花王ホワイト,花王ホワイト セレクト,6,花王石鹸ホワイトセレクト使ってみました！開けた瞬間から、上品なお花の香りに癒されました(^｡^)軽く泡だててみたら、今まで使ってた石鹸とは泡の感じが全然違うのに驚き！キメの細かい濃密な泡で、まるでクリームみたい♪伸びもいいし、洗っていて泡がヘタれないのもすごい！正直石鹸はどれも一緒だと思っていたから、感動しちゃいました（＾_＾）プレゼントとかにも良さそう！今年の母の日のギフトは、これにしようかな♪
49,普通肌,コスマンス,ユイル デマキアン ドゥスール,1,口コミなどをみて、その後販売されて無くメルカリで見つけて購入しました。使用感はごく普通のオイルクレンジングという感じですが、香りが独特ので私には石油系の香りがきつく感じ顔につけてる時は嫌でした。洗い上がりは少しつっぱり感があり、私だけかも知れませんが目にしみて苦手でした。
31,敏感肌,ホワイトラベル,贅沢プラセンタのもっちり白肌洗顔フォーム,4,泡だてネットで生クリームのような濃密なモコモコ泡の出来上がりです。手を逆さにしても落ちない泡です。肌に優しく洗顔しながら角質もケア出来ました。洗いあがりはさっぱりで好きな使用感でした。その後のスキンケアの入りも良かったです。
